Time	UTC	GPS_lat(deg)	GPS_long(deg)	NPS_SPEED_POS:ltpp_y	NPS_SPEED_POS:ltpp_x
10.798	05:11:26.798	52.138611024	11.645278122	0.006081	0.004777
11.048	05:11:27.048	52.138611024	11.645278122	0.006081	0.004777
11.298	05:11:27.298	52.138611024	11.645278122	0.006081	0.004777
11.548	05:11:27.548	52.138611024	11.645278122	0.006081	0.004777
11.798	05:11:27.798	52.138611024	11.645278122	0.006081	0.004777
12.048	05:11:28.048	52.138611024	11.645278122	0.006081	0.004777
12.298	05:11:28.298	52.138611024	11.645278122	0.006081	0.004777
12.548	05:11:28.548	52.138611024	11.645278122	0.006081	0.004777
12.798	05:11:28.798	52.138611024	11.645278122	0.006082	0.004777
13.048	05:11:29.048	52.138611024	11.645278122	0.006082	0.004777
13.298	05:11:29.298	52.138611024	11.645278122	0.006082	0.004777
13.548	05:11:29.548	52.138611024	11.645278122	0.006082	0.004777
13.798	05:11:29.798	52.138611024	11.645278122	0.006082	0.004777
14.048	05:11:30.048	52.138611024	11.645278122	0.006082	0.004777
14.298	05:11:30.298	52.138611024	11.645278122	0.006082	0.004777
14.548	05:11:30.548	52.138611024	11.645278122	0.006082	0.004777
14.798	05:11:30.798	52.138611024	11.645278122	0.006082	0.004777
15.048	05:11:31.048	52.138611024	11.645278122	0.006082	0.004777
15.298	05:11:31.298	52.138611024	11.645278122	0.006082	0.004777
15.548	05:11:31.548	52.138611024	11.645278122	0.006082	0.004777
15.798	05:11:31.798	52.138611024	11.645278122	0.006082	0.004777
16.048	05:11:32.048	52.138611024	11.645278122	0.006082	0.004777
16.298	05:11:32.298	52.138611024	11.645278122	0.006082	0.004777
16.548	05:11:32.548	52.138611024	11.645278122	0.006082	0.004777
16.798	05:11:32.798	52.138611024	11.645278122	0.006082	0.004777
17.048	05:11:33.048	52.138611024	11.645278122	0.006082	0.004777
17.298	05:11:33.298	52.138611024	11.645278122	0.006082	0.004777
17.548	05:11:33.548	52.138611024	11.645278122	0.006082	0.004777
17.798	05:11:33.798	52.138611024	11.645278122	0.006082	0.004777
18.048	05:11:34.048	52.138611024	11.645278122	0.006082	0.004777
18.298	05:11:34.298	52.138611024	11.645278122	0.006082	0.004777
18.548	05:11:34.548	52.138611024	11.645278122	0.006082	0.004777
18.798	05:11:34.798	52.138611024	11.645278122	0.006082	0.004777
19.048	05:11:35.048	52.138611024	11.645278122	0.006082	0.004777
19.298	05:11:35.298	52.138611024	11.645278122	0.006082	0.004777
19.548	05:11:35.548	52.138611024	11.645278122	0.006082	0.004777
19.798	05:11:35.798	52.138611024	11.645278122	0.006082	0.004777
20.048	05:11:36.048	52.138611024	11.645278122	0.006082	0.004777
20.298	05:11:36.298	52.138611024	11.645278122	0.006082	0.004777
20.548	05:11:36.548	52.138611024	11.645278122	0.006082	0.004777
20.798	05:11:36.798	52.138611024	11.645278122	0.006082	0.004777
21.048	05:11:37.048	52.138611024	11.645278122	0.006082	0.004777
21.298	05:11:37.298	52.138611024	11.645278122	0.006082	0.004777
21.548	05:11:37.548	52.138611024	11.645278122	0.006082	0.004777
21.798	05:11:37.798	52.138611024	11.645278122	0.006082	0.004777
22.048	05:11:38.048	52.138611024	11.645278122	0.006082	0.004777
22.298	05:11:38.298	52.138611024	11.645278122	0.006082	0.004777
22.548	05:11:38.548	52.138611024	11.645278122	0.006082	0.004777
22.798	05:11:38.798	52.138611024	11.645278122	0.006082	0.004777
23.048	05:11:39.048	52.138611024	11.645278122	0.006082	0.004777
23.298	05:11:39.298	52.138611024	11.645278122	0.006082	0.004777
23.548	05:11:39.548	52.138611024	11.645278122	0.006082	0.004777
23.798	05:11:39.798	52.138611024	11.645278122	0.006082	0.004777
24.048	05:11:40.048	52.138611024	11.645278122	0.006082	0.004777
24.298	05:11:40.298	52.138611024	11.645278122	0.006082	0.004777
24.548	05:11:40.548	52.138611024	11.645278122	0.006082	0.004777
24.798	05:11:40.798	52.138611024	11.645278122	0.006082	0.004777
25.048	05:11:41.048	52.138611024	11.645278122	0.006082	0.004777
25.298	05:11:41.298	52.138611024	11.645278122	0.006092	0.004773
25.548	05:11:41.548	52.138611024	11.645278122	0.006108	0.004736
25.798	05:11:41.798	52.138611024	11.645278122	0.006134	0.004625
26.048	05:11:42.048	52.138611024	11.645278122	0.006183	0.004376
26.298	05:11:42.298	52.138611024	11.645278122	0.006256	0.003994
26.548	05:11:42.548	52.138610989	11.645278122	0.006367	0.003437
26.798	05:11:42.798	52.138610989	11.645278122	0.006526	0.00275
27.048	05:11:43.048	52.138610989	11.645278122	0.006727	0.002037
27.298	05:11:43.298	52.138610989	11.645278122	0.006964	0.001352
27.548	05:11:43.548	52.138610989	11.645278122	0.007251	0.000685
27.798	05:11:43.798	52.138610989	11.645278122	0.007551	0.000118
28.048	05:11:44.048	52.138610989	11.645278179	0.007895	-0.000411
28.298	05:11:44.298	52.138610989	11.645278179	0.008241	-0.000887
28.548	05:11:44.548	52.138610989	11.645278179	0.008503	-0.001347
28.798	05:11:44.798	52.138610989	11.645278179	0.008585	-0.001758
29.048	05:11:45.048	52.138610989	11.645278179	0.008463	-0.002206
29.298	05:11:45.298	52.138610989	11.645278236	0.012669	0.001494
29.548	05:11:45.548	52.138611445	11.645279035	0.071881	0.057146
29.798	05:11:45.798	52.138612604	11.645280975	0.210151	0.188252
