Time	UTC	GPS_lat(deg)	GPS_long(deg)	NPS_RATE_ATTITUDE:theta	NPS_RATE_ATTITUDE:phi	y	x	NPS_SPEED_POS:ltpp_yd	NPS_SPEED_POS:ltpp_xd
145.059	14:04:18.926	52.138569002	11.645252676	-15.178807	20.548275	-1.733609	-4.679772	2.762437	-1.598835
145.309	14:04:19.176	52.138567072	11.645260036	-14.150705	21.454366	-1.215268	-4.896985	3.200054	-0.905514
145.559	14:04:19.426	52.138566124	11.645268423	-13.813263	17.440138	-0.629967	-4.996786	3.584027	-0.269413
145.809	14:04:19.676	52.138566124	11.645278122	-14.535115	12.104913	0.036375	-4.990104	3.830831	0.332355
146.059	14:04:19.926	52.138567107	11.645288335	-16.012868	7.227534	0.711636	-4.883938	3.903389	0.881195
146.309	14:04:20.176	52.138568827	11.645297920	-15.839141	2.917348	1.397643	-4.680024	3.828525	1.409531
146.559	14:04:20.426	52.138571600	11.645308360	-13.200798	-1.223184	2.105083	-4.368636	3.644705	1.859665
146.809	14:04:20.676	52.138575041	11.645318174	-10.248824	-4.909852	2.756743	-3.994703	3.391027	2.157688
147.059	14:04:20.926	52.138578692	11.645326675	-7.619225	-8.088739	3.358778	-3.575992	3.074884	2.32315
147.309	14:04:21.176	52.138582272	11.645333977	-5.692419	-10.284444	3.837188	-3.18966	2.755642	2.374649
147.559	14:04:21.426	52.138586099	11.645340710	-3.950281	-11.958718	4.299233	-2.763224	2.376079	2.351045
147.809	14:04:21.676	52.138589890	11.645346415	-14.021835	-14.713468	4.696639	-2.334604	1.899242	2.362251
148.059	14:04:21.926	52.138594173	11.645350808	-22.703436	-14.34995	4.983037	-1.869969	1.20163	2.735734
148.309	14:04:22.176	52.138599018	11.645353033	-22.373253	-13.118293	5.135095	-1.329693	0.499725	3.264785
148.559	14:04:22.426	52.138604354	11.645353490	-17.008188	-13.538321	5.165775	-0.708445	-0.142574	3.682494
148.809	14:04:22.676	52.138610146	11.645352520	-11.660052	-14.997477	5.091828	-0.061473	-0.719547	3.897436
149.059	14:04:22.926	52.138615763	11.645350238	-7.601515	-16.494056	4.937723	0.555855	-1.238823	3.944099
149.309	14:04:23.176	52.138620678	11.645347328	-4.567275	-15.579341	4.741538	1.085839	-1.655102	3.898144
149.559	14:04:23.426	52.138626225	11.645342935	-0.937985	-12.957061	4.434781	1.716046	-2.062797	3.777981
149.809	14:04:23.676	52.138631210	11.645338142	2.292837	-10.407051	4.111156	2.260342	-2.32172	3.621101
150.059	14:04:23.926	52.138636265	11.645332494	5.698106	-7.804254	3.711969	2.839823	-2.496719	3.395796
