Time	UTC	FINKEN_SENSOR_MODEL:acceleration_z	FINKEN_SENSOR_MODEL:acceleration_y	FINKEN_SENSOR_MODEL:acceleration_x	FINKEN_SENSOR_MODEL:velocity_yaw	FINKEN_SENSOR_MODEL:velocity_roll	FINKEN_SENSOR_MODEL:velocity_pitch	FINKEN_SENSOR_MODEL:velocity_z	FINKEN_SENSOR_MODEL:velocity_y	FINKEN_SENSOR_MODEL:velocity_x
6.955	08:47:44.955	-9.655273	0.013672	-0.113281	0.008301	-0.00415	0.003174	0.	0.	0.
8.036	08:47:46.036	-9.65918	0.071289	-0.108398	0.00415	-0.001953	0.003174	0.	0.	0.
9.477	08:47:47.477	-9.579102	-0.137695	-0.023438	0.009521	0.008301	0.	0.	0.	0.
9.596	08:47:47.596	-9.745117	0.003906	-0.104492	0.007324	-0.001953	0.009521	0.	0.	0.
9.798	08:47:47.798	-9.735352	0.256836	0.180664	0.000977	-0.008301	0.00415	0.	0.	0.
9.917	08:47:47.917	-9.763672	0.008789	-0.051758	0.014893	-0.003174	0.007324	0.	0.	0.
9.996	08:47:47.996	-9.72168	-0.056641	-0.046875	0.007324	0.	0.001953	0.	0.	0.
10.195	08:47:48.195	-9.759766	-0.066406	0.075195	0.00415	-0.003174	0.00415	0.	0.	0.
10.317	08:47:48.317	-9.72168	0.	-0.018555	0.010498	-0.000977	0.003174	0.	0.	0.
10.518	08:47:48.518	-9.702148	-0.033203	-0.041992	0.006348	-0.003174	0.006348	0.	0.	0.
10.638	08:47:48.638	-9.655273	0.099609	-0.080078	0.007324	-0.000977	0.006348	0.	0.	0.
10.798	08:47:48.798	-9.716797	0.033203	-0.166016	0.010498	0.018066	-0.006348	0.	0.	0.
11.037	08:47:49.037	-9.768555	0.02832	-0.008789	0.008301	-0.007324	0.008301	0.	0.	0.
11.196	08:47:49.196	-9.587891	0.071289	-0.066406	0.010498	-0.000977	0.010498	0.	0.	0.
11.316	08:47:49.316	-9.735352	-0.041992	-0.132812	-0.001953	0.003174	0.003174	0.	0.	0.
11.517	08:47:49.517	-9.788086	0.008789	-0.099609	0.011475	0.003174	0.005127	0.	0.	0.
11.598	08:47:49.598	-9.655273	0.033203	-0.075195	0.003174	-0.007324	0.000977	0.	0.	0.
11.795	08:47:49.795	-9.77832	0.051758	0.151367	0.009521	0.005127	0.00415	0.	0.	0.
11.915	08:47:49.915	-9.726562	0.003906	-0.023438	0.001953	0.000977	0.00415	0.	0.	0.
11.997	08:47:49.997	-9.740234	-0.094727	0.037109	-0.000977	0.000977	0.005127	0.	0.	0.
12.118	08:47:50.118	-9.869141	0.02832	-0.056641	0.008301	-0.000977	0.003174	0.	0.	0.
12.276	08:47:50.276	-9.773438	0.041992	-0.046875	0.000977	0.	0.006348	0.	0.	0.
12.516	08:47:50.516	-9.735352	-0.008789	-0.046875	0.006348	0.000977	0.000977	0.	0.	0.
12.599	08:47:50.599	-9.668945	0.051758	-0.051758	0.00415	0.000977	0.006348	0.	0.	0.
12.718	08:47:50.718	-9.72168	0.02832	-0.051758	0.006348	-0.000977	0.005127	0.	0.	0.
12.837	08:47:50.837	-9.745117	-0.071289	0.037109	0.006348	0.	0.00415	0.	0.	0.
12.957	08:47:50.957	-9.678711	0.008789	0.02832	0.00415	0.	0.000977	0.	0.	0.
13.076	08:47:51.076	-9.697266	-0.041992	-0.02832	0.005127	-0.001953	0.003174	0.	0.	0.
13.276	08:47:51.276	-9.692383	0.013672	-0.056641	0.007324	0.	0.003174	0.	0.	0.
13.516	08:47:51.516	-9.759766	0.051758	-0.108398	0.005127	-0.000977	0.00415	0.	0.	0.
13.995	08:47:51.995	-9.740234	-0.02832	-0.046875	0.010498	-0.00415	0.001953	0.	0.	0.
