Time	UTC	GPS_lat(deg)	GPS_long(deg)	NPS_RATE_ATTITUDE:phi	NPS_SPEED_POS:ltpp_y	NPS_SPEED_POS:ltpp_yd
8.377	13:53:0.064	52.138611024	11.645278122	-1.4e-05	0.006081	0.
8.627	13:53:0.314	52.138611024	11.645278122	-1.4e-05	0.006081	0.
8.877	13:53:0.564	52.138611024	11.645278122	-1.4e-05	0.006081	-0.
9.127	13:53:0.814	52.138611024	11.645278122	-1.4e-05	0.006081	-0.
9.377	13:53:1.064	52.138611024	11.645278122	-1.4e-05	0.006081	-0.
9.627	13:53:1.314	52.138611024	11.645278122	-1.4e-05	0.006081	0.
9.877	13:53:1.564	52.138611024	11.645278122	-1.4e-05	0.006081	0.
10.127	13:53:1.814	52.138611024	11.645278122	-1.4e-05	0.006081	0.
10.377	13:53:2.064	52.138611024	11.645278122	-1.4e-05	0.006081	0.
10.627	13:53:2.314	52.138611024	11.645278122	-1.4e-05	0.006081	-0.
10.877	13:53:2.564	52.138611024	11.645278122	-1.4e-05	0.006082	0.
11.127	13:53:2.814	52.138611024	11.645278122	-1.4e-05	0.006082	0.
11.377	13:53:3.064	52.138611024	11.645278122	-1.4e-05	0.006082	0.
11.627	13:53:3.314	52.138611024	11.645278122	-1.4e-05	0.006082	0.
11.877	13:53:3.564	52.138611024	11.645278122	-1.4e-05	0.006082	0.
12.127	13:53:3.814	52.138611024	11.645278122	-1.4e-05	0.006082	0.
12.377	13:53:4.064	52.138611024	11.645278122	-1.4e-05	0.006082	0.
12.627	13:53:4.314	52.138611024	11.645278122	-1.4e-05	0.006082	0.
12.877	13:53:4.564	52.138611024	11.645278122	-1.4e-05	0.006082	0.
13.127	13:53:4.814	52.138611024	11.645278122	-1.4e-05	0.006082	0.
13.377	13:53:5.064	52.138611024	11.645278122	-1.4e-05	0.006082	0.
13.627	13:53:5.314	52.138611024	11.645278122	-1.4e-05	0.006082	0.
13.877	13:53:5.564	52.138611024	11.645278122	-1.4e-05	0.006082	0.
14.127	13:53:5.814	52.138611024	11.645278122	-1.4e-05	0.006082	0.
14.377	13:53:6.064	52.138611024	11.645278122	-1.4e-05	0.006082	0.
14.627	13:53:6.314	52.138611024	11.645278122	-1.4e-05	0.006082	0.
14.877	13:53:6.564	52.138611024	11.645278122	-1.4e-05	0.006082	0.
15.127	13:53:6.814	52.138611024	11.645278122	-1.4e-05	0.006082	0.
15.377	13:53:7.064	52.138611024	11.645278122	-1.4e-05	0.006082	0.
15.627	13:53:7.314	52.138611024	11.645278122	-1.4e-05	0.006082	-0.
15.877	13:53:7.564	52.138611024	11.645278122	-1.4e-05	0.006082	0.
16.127	13:53:7.814	52.138611024	11.645278122	-1.4e-05	0.006082	0.
16.377	13:53:8.064	52.138611024	11.645278122	-1.4e-05	0.006082	0.
16.627	13:53:8.314	52.138611024	11.645278122	-1.4e-05	0.006082	0.
16.877	13:53:8.564	52.138611024	11.645278122	-1.4e-05	0.006082	0.
17.127	13:53:8.814	52.138611024	11.645278122	-1.4e-05	0.006082	0.
17.377	13:53:9.064	52.138611024	11.645278122	-1.4e-05	0.006082	0.
17.627	13:53:9.314	52.138611024	11.645278122	-1.4e-05	0.006082	0.
17.877	13:53:9.564	52.138611024	11.645278122	-1.4e-05	0.006082	0.
18.127	13:53:9.814	52.138611024	11.645278122	-1.4e-05	0.006082	0.
18.377	13:53:10.064	52.138611024	11.645278122	-1.4e-05	0.006082	-0.
18.627	13:53:10.314	52.138611024	11.645278122	-1.4e-05	0.006082	-0.
18.877	13:53:10.564	52.138611024	11.645278122	-1.4e-05	0.006082	0.
19.127	13:53:10.814	52.138611024	11.645278122	-1.4e-05	0.006082	-0.
19.377	13:53:11.064	52.138611024	11.645278122	-1.4e-05	0.006082	0.
19.627	13:53:11.314	52.138611024	11.645278122	-1.4e-05	0.006082	-0.
19.877	13:53:11.564	52.138611024	11.645278122	-1.4e-05	0.006082	-0.
20.127	13:53:11.814	52.138611024	11.645278122	-1.4e-05	0.006082	0.
20.377	13:53:12.064	52.138611024	11.645278122	-1.4e-05	0.006082	-0.
20.627	13:53:12.314	52.138611024	11.645278122	-1.4e-05	0.006082	-0.
20.877	13:53:12.564	52.138611024	11.645278122	-1.4e-05	0.006082	0.
21.127	13:53:12.814	52.138611024	11.645278122	-1.4e-05	0.006082	0.
21.377	13:53:13.064	52.138611024	11.645278122	-1.4e-05	0.006082	0.
21.627	13:53:13.314	52.138611024	11.645278122	-1.4e-05	0.006082	0.
21.877	13:53:13.564	52.138611024	11.645278122	-1.4e-05	0.006082	-0.
22.127	13:53:13.814	52.138611024	11.645278122	-1.4e-05	0.006082	0.
22.377	13:53:14.064	52.138611024	11.645278122	-1.4e-05	0.006082	-0.
22.627	13:53:14.314	52.138611024	11.645278122	-1.4e-05	0.006082	0.
22.877	13:53:14.564	52.138611024	11.645278122	-1.4e-05	0.006082	-0.
23.127	13:53:14.814	52.138611024	11.645278122	-1.4e-05	0.006082	-0.
23.377	13:53:15.064	52.138611024	11.645278122	-1.4e-05	0.006082	0.
23.627	13:53:15.314	52.138611024	11.645278122	-1.4e-05	0.006082	0.
23.877	13:53:15.564	52.138611024	11.645278122	-1.4e-05	0.006082	0.
24.127	13:53:15.814	52.138611024	11.645278122	-1.4e-05	0.006082	0.
24.377	13:53:16.064	52.138611024	11.645278122	-1.4e-05	0.006082	0.
24.627	13:53:16.314	52.138611024	11.645278122	-1.4e-05	0.006082	0.
24.877	13:53:16.564	52.138611024	11.645278122	-1.4e-05	0.006082	0.
25.127	13:53:16.814	52.138611024	11.645278122	-1.4e-05	0.006082	0.
25.377	13:53:17.064	52.138611024	11.645278122	-1.4e-05	0.006082	0.
25.627	13:53:17.314	52.138611024	11.645278122	-1.4e-05	0.006082	-0.
25.877	13:53:17.564	52.138611024	11.645278122	-1.4e-05	0.006082	0.
26.127	13:53:17.814	52.138611024	11.645278122	-1.4e-05	0.006082	0.
26.377	13:53:18.064	52.138611024	11.645278122	-1.4e-05	0.006083	0.
26.627	13:53:18.314	52.138611024	11.645278122	-1.4e-05	0.006083	0.
26.877	13:53:18.564	52.138611024	11.645278122	-1.4e-05	0.006083	-0.
27.127	13:53:18.814	52.138611024	11.645278122	-1.4e-05	0.006083	-0.
27.377	13:53:19.064	52.138611024	11.645278122	-1.4e-05	0.006083	0.
27.627	13:53:19.314	52.138611024	11.645278122	-1.4e-05	0.006083	0.
27.877	13:53:19.564	52.138611024	11.645278122	-1.4e-05	0.006083	0.
28.127	13:53:19.814	52.138611024	11.645278122	-1.4e-05	0.006083	0.
28.377	13:53:20.064	52.138611024	11.645278122	-1.4e-05	0.006083	0.
28.627	13:53:20.314	52.138611024	11.645278122	-1.4e-05	0.006083	0.
28.877	13:53:20.564	52.138611024	11.645278122	-1.4e-05	0.006083	0.
29.127	13:53:20.814	52.138611024	11.645278122	-1.4e-05	0.006083	0.
29.377	13:53:21.064	52.138611024	11.645278122	-1.4e-05	0.006083	0.
29.627	13:53:21.314	52.138611024	11.645278122	-1.4e-05	0.006083	0.
29.877	13:53:21.564	52.138611024	11.645278122	-1.4e-05	0.006083	0.
30.127	13:53:21.814	52.138611024	11.645278122	-1.4e-05	0.006083	-0.
30.377	13:53:22.064	52.138611024	11.645278122	-1.4e-05	0.006083	-0.
30.627	13:53:22.314	52.138611024	11.645278122	-1.4e-05	0.006083	0.
30.877	13:53:22.564	52.138611024	11.645278122	-1.4e-05	0.006083	0.
31.127	13:53:22.814	52.138611024	11.645278122	-1.4e-05	0.006083	0.
31.377	13:53:23.064	52.138611024	11.645278122	-1.4e-05	0.006083	0.
31.627	13:53:23.314	52.138611024	11.645278122	-1.4e-05	0.006083	-0.
31.877	13:53:23.564	52.138611024	11.645278122	-1.4e-05	0.006083	0.
32.127	13:53:23.814	52.138611024	11.645278122	-1.4e-05	0.006083	0.
32.377	13:53:24.064	52.138611024	11.645278122	-1.4e-05	0.006083	0.
32.627	13:53:24.314	52.138611024	11.645278122	-1.4e-05	0.006083	0.
32.877	13:53:24.564	52.138611024	11.645278122	-1.4e-05	0.006083	0.
33.127	13:53:24.814	52.138611024	11.645278122	-1.4e-05	0.006083	0.
33.377	13:53:25.064	52.138611024	11.645278122	-1.4e-05	0.006083	0.
33.627	13:53:25.314	52.138611024	11.645278122	-1.4e-05	0.006083	0.
33.877	13:53:25.564	52.138611024	11.645278122	-1.4e-05	0.006083	0.
34.127	13:53:25.814	52.138611024	11.645278122	-1.4e-05	0.006083	0.
34.377	13:53:26.064	52.138611024	11.645278122	-1.4e-05	0.006083	0.
34.627	13:53:26.314	52.138611024	11.645278122	-1.4e-05	0.006083	0.
34.877	13:53:26.564	52.138611024	11.645278122	-1.4e-05	0.006083	0.
35.127	13:53:26.814	52.138611024	11.645278122	-1.4e-05	0.006083	0.
35.377	13:53:27.064	52.138611024	11.645278122	-1.4e-05	0.006083	0.
35.627	13:53:27.314	52.138611024	11.645278122	-1.4e-05	0.006083	0.
35.877	13:53:27.564	52.138611024	11.645278122	-1.4e-05	0.006083	0.
36.127	13:53:27.814	52.138611024	11.645278122	-1.4e-05	0.006083	0.
36.377	13:53:28.064	52.138611024	11.645278122	-1.4e-05	0.006083	0.
36.627	13:53:28.314	52.138611024	11.645278122	-1.4e-05	0.006083	0.
36.877	13:53:28.564	52.138611024	11.645278122	-1.4e-05	0.006083	0.
37.127	13:53:28.814	52.138611024	11.645278122	-1.4e-05	0.006083	0.
37.377	13:53:29.064	52.138611024	11.645278122	-1.4e-05	0.006083	0.
37.627	13:53:29.314	52.138611024	11.645278122	-1.4e-05	0.006083	0.
37.877	13:53:29.564	52.138611024	11.645278122	-1.4e-05	0.006083	0.
38.127	13:53:29.814	52.138611024	11.645278122	-1.4e-05	0.006083	0.
38.377	13:53:30.064	52.138611024	11.645278122	-1.4e-05	0.006083	0.
38.627	13:53:30.314	52.138611024	11.645278122	-1.4e-05	0.006083	0.
38.877	13:53:30.564	52.138611024	11.645278122	-1.4e-05	0.006083	0.
39.127	13:53:30.814	52.138611024	11.645278122	-1.4e-05	0.006083	0.
39.377	13:53:31.064	52.138611024	11.645278122	-1.4e-05	0.006083	-0.
39.627	13:53:31.314	52.138611024	11.645278122	-1.4e-05	0.006083	0.
39.877	13:53:31.564	52.138611024	11.645278122	-1.4e-05	0.006083	0.
40.127	13:53:31.814	52.138611024	11.645278122	-1.4e-05	0.006083	-0.
40.377	13:53:32.064	52.138611024	11.645278122	-1.4e-05	0.006083	0.
40.627	13:53:32.314	52.138611024	11.645278122	-1.4e-05	0.006083	0.
40.877	13:53:32.564	52.138611024	11.645278122	-1.4e-05	0.006083	0.
41.127	13:53:32.814	52.138611024	11.645278122	-1.4e-05	0.006083	0.
41.377	13:53:33.064	52.138611024	11.645278122	-1.4e-05	0.006084	-0.
41.627	13:53:33.314	52.138611024	11.645278122	-1.4e-05	0.006084	0.
41.877	13:53:33.564	52.138611024	11.645278122	-1.4e-05	0.006084	0.
42.127	13:53:33.814	52.138611024	11.645278122	-1.4e-05	0.006084	0.
42.377	13:53:34.064	52.138611024	11.645278122	-1.4e-05	0.006084	0.
42.627	13:53:34.314	52.138611024	11.645278122	-1.4e-05	0.006084	0.
42.877	13:53:34.564	52.138611024	11.645278122	-1.4e-05	0.006084	0.
